HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
85064,Nymphalidae,Junonia,evarete,,Cramer,Scrophulariaceae,Agalinis,,,Argentina,,
85066,Nymphalidae,Junonia,evarete,,Cramer,Scrophulariaceae,Agalinis,communis,,Argentina,,
83899,Nymphalidae,Haematera,pyramus,,Hübner,Sapindaceae,Allophylus,,,Argentina,,
79993,Nymphalidae,Catagramma,pygas,,Godart,Sapindaceae,Allophylus,petiolulatus,,Argentina,,
85072,Nymphalidae,Junonia,evarete,,Cramer,Verbenaceae,Aloysia,,,Argentina,,
78964,Nymphalidae,Anartia,jatrophae,,Johansson,Verbenaceae,Aloysia,triphylla,,Argentina,,
110217,Pyralidae,Vogtia,malloi,,Pastrana,Amaranthaceae,Alternanthera,philoxeroides,,Argentina,,
78548,Nymphalidae,Actinote,mamita,,Burmeister,Amaranthaceae,Amaranthus,caudatus,,Argentina,,
78551,Nymphalidae,Actinote,mamita,,Burmeister,Amaranthaceae,Amaranthus,hybridus,,Argentina,,
81115,Nymphalidae,Chlosyne,lacinia,,Geyer,Amaranthaceae,Amaranthus,hybridus,,Argentina,,
78552,Nymphalidae,Actinote,mamita,,Burmeister,Amaranthaceae,Amaranthus,quitensis,,Argentina,,
136550,Tortricidae,Platynota,,,,Compositae,Ambrosia,artemisiifolia,elatior,Argentina,in rolled leaves,
85890,Nymphalidae,Marpesia,petreus,,Cramer,Anacardiaceae,Anacardium,,,Argentina,,
61469,Noctuidae,Gonodonta,fulvangula,,Geyer,Annonaceae,Annona,,,Uruguay,,
131659,Tortricidae,Ecdytolopha,punctidiscanum,,Dyar,Annonaceae,Annona,cherimola,,Argentina,,
85074,Nymphalidae,Junonia,evarete,,Cramer,Scrophulariaceae,Antirrhinum,majus,,Argentina,,
98157,Psychidae,Lumacra,kunckelii,,Heylaerts,Gramineae,Aristida,,,Argentina,,
98667,Psychidae,Platoeceticus,chaquensis,,Köhler,Apocynaceae,Aspidosperma,quebracho-blanco,,Argentina,,
12984,Gelechiidae,Tuta,atriplicella,,Kieffer & Jörg.,Chenopodiaceae,Atriplex,lampa,,Argentina,in stem galls,
128787,Tortricidae,Chileulia,stalactitis,,Meyrick,Cupressaceae,Austrocedrus,chilensis,,Argentina,,
98158,Psychidae,Lumacra,kunckelii,,Heylaerts,Compositae,Baccharis,cordifolia,,Argentina,,
